"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Cyprus" 193276940 38 0.05 72.6 7198.6 5.91 12.02 2.93 0 0.49 1.01 0.91 0.87 0.75 0.64 72.3 25606.52 29419.89 1.43 376.67 0.5 32.7 8.23 19.52 22.7
"Cyprus" 4000450 1 0 72.6 7191 5.85 11.97 2.54 0 0.56 1.05 0.99 1.01 0.75 0.63 72.8 25949.51 29417.92 0.25 378.17 0.52 31.2 9.01 17.09 22.2
"Cyprus" 0 1 0 64.8 6771.8 5.47 15.02 2.47 0 0.31 0.91 0.88 1 0.57 0.37 73.4 24997.8 28035.98 -0.64 420.31 0.51 31.7 8.38 15.02 22.4
"Czech Republic" 29184831 15 0 84.67 103549.9 9.77 14.46 2.4 0.1 1 0.88 1.06 1.23 1.12 0.6 76.4 220064.71 20636.2 2.47 147973.78 23.37 24.9 6.48 3.74 46.1
"Czech Republic" 58647605 62 0.01 67.68 102734.3 9.66 14.72 2.35 0.07 1.03 0.81 0.98 1.27 1.05 0.54 76.4 249558.94 23424.48 2.14 142512.29 21.72 25 6.54 3.14 46.1
"Czech Republic" 3000000 31 0 67.68 97712.9 9.16 15.88 2.42 0.11 0.94 0.84 0.95 1.24 1.05 0.56 76.3 252718.17 23664.85 2.86 149855.13 22.93 25.3 6.84 2.7 46.1
"Czech Republic" 0 1 0.03 71 88835.2 8.3 16.97 2.37 0.11 0.92 0.98 0.95 1.24 1.05 0.58 76.3 246699.17 22992.88 3.16 166121.4 23.21 26.2 7.38 2.96 46.1
"Denmark" 5434123 77 0 89.21 33184 5.76 35.02 3.66 0.06 0.87 1.52 1.78 1.62 1.84 2.23 84.6 333048.86 57610.1 1.14 72579.57 6.6 28.7 6.9 2.29 24.4
"Denmark" 2500000 91 0 81.6 33133.3 5.72 34.56 3.62 0.17 0.95 1.56 1.84 1.64 1.81 2.19 84.6 357180.47 61591.93 0.8 68302.55 6.31 28.2 6.98 1.71 23.8
"Denmark" 0 7 0 81.6 29696.5 5.11 37.29 3.31 0.2 1 1.55 1.9 1.56 1.87 2.16 85.2 346568.95 59592.98 0.78 63672.59 6.67 27.7 7.37 1.72 23.8
"Dominican Republic" 123500000 41 0.01 64.71 25366 2.36 15.95 1.68 0.16 0.02 0.12 -0.37 -0.02 -0.35 -0.81 59.1 0 7947.16 3.56 7627.6 49.56 43.7 9.61 1.62 48.8
"Dominican Republic" 0 3 0 46.3 22881.3 2.08 16.69 1.35 0.12 0.16 0.24 -0.25 0.04 -0.16 -0.73 60 0 7167.91 3.79 10751.7 56.65 39.6 10.43 1.55 48.8
"Ecuador" 0 7 0 57.42 40273.2 2.37 16.33 0.44 0.15 -0.09 -0.01 -0.29 -0.87 -0.65 -0.61 57.5 107562.01 6321.35 -0.22 2676.5 25000 45.4 11.78 2.95 32.5
"Ecuador" 0 9 0 57.42 39631.4 2.29 17.73 0.39 0.09 -0.23 0.03 -0.34 -0.78 -0.52 -0.49 57.6 108108.01 6233.26 0.27 3397.1 25000 45.7 11.91 3.15 32.3
"Egypt" 2877240 41 0 61.21 237983 2.29 5.03 0.99 0.04 -1.18 -1.33 -0.42 -0.79 -0.28 -0.49 55.8 288323.34 2531.2 14.42 42555 17.82 0 0 7.2 45.8
"Egypt" 0 33 0 61.21 217908.3 2.06 6.23 0.89 0 -1.11 -1.44 -0.22 -0.74 -0.32 -0.63 58.5 352741.77 3017.26 9.19 45424 16.82 31.9 0 7.2 46.9
"Egypt" 0 8 0 35.5 210752.3 1.96 6.51 0.57 0.06 -1.17 -1.48 -0.42 -0.56 -0.31 -0.79 60.1 401099.72 3571.56 5.06 40068 15.81 0 0 0 44.4
"Estonia" 171682654 5 0.01 88.59 16773.5 12.73 27.52 2.87 0 0.65 1.21 1.11 1.64 1.28 1.24 80.7 26905.55 20437.77 3.41 341.43 13.88 30.4 12.77 0.7 48.5
"Estonia" 683909254 1 0.27 64.31 15716.9 11.89 28.59 2.75 0 0.59 1.18 1.18 1.55 1.23 1.5 80.8 30573.94 23165.85 3.43 750.93 13.25 30.3 12.71 0.45 48.5
"Estonia" 153080214 2 0.04 64.31 10060.7 7.58 31.34 3.22 0 0.63 1.18 1.17 1.59 1.27 1.56 80.8 31041.26 23424.48 2.29 1409.24 13.97 30.8 12.07 0.36 48.5
"Estonia" 9765266 224 0.01 65.3 7097.52 5.34 40 2.42 0 0.72 1.17 1.33 1.54 1.37 1.61 80.6 31325.37 23595.24 -0.44 1980.51 13.73 30.7 10.32 0.35 47.8
"Finland" 6000000 4 0 90.68 43015.4 7.81 44.48 2.98 0.02 1.08 1.56 2.01 1.82 2.06 2.2 80.1 255745.93 46412.14 0.75 8536.59 5.27 27.4 9.03 1.67 38.1
"Finland" 782774 80 0.01 78.64 44395.5 8.05 44.3 2.96 0.03 0.91 1.58 2.05 1.78 2.07 2.21 80 275884.22 49987.63 1.1 8360.78 5.03 27.3 9.3 1.43 38.4
"France" 72276825 15 0.01 88.2 317721.2 4.75 14.12 2.42 0.05 0.28 1.15 1.34 1.15 1.43 1.26 76.3 2598768.09 38781.05 1.03 58710.33 5.82 31.6 6.59 3.12 64.1
"France" 170838549 93 0.04 83.95 306948.4 4.57 15.21 2.47 0.03 0.03 1.15 1.45 1.15 1.43 1.31 76 2794323.66 41557.85 1.85 70844.43 5.55 32.4 6.53 2.75 62.6
"France" 58792275 2 0 83.95 300561.6 4.46 15.53 2.38 0.12 0.3 1.12 1.37 1.44 1.4 1.28 76.8 2732446.2 40494.9 1.11 74726.23 5.86 31.2 6.61 2.47 60.4
"France" 33640000 72 0 80 267154.7 3.95 16.87 2.28 0.08 0.32 1.07 1.24 1.2 1.32 1.15 76.8 2647349.49 39055.28 0.48 81573.5 5.76 30.7 6.18 2.71 60.7
"Georgia" 1000000 6 0 64.96 9907.1 2.66 27.52 1.49 0.04 -0.37 0.26 0.52 0.96 0.28 0.79 80.8 16261.1 4356.93 6.03 3039.26 2.51 37.9 12.82 2.78 16.4
"Georgia" 53342087 135 0.01 55.69 9725.2 2.61 27.37 1.48 0.01 -0.44 0.22 0.56 1.04 0.29 0.76 83 17641.24 4722.04 2.62 3288.83 2.53 36.4 12.64 2.68 16.4
"Georgia" 22989322 5 0.01 55.69 10549.6 2.84 24.69 1.32 0.12 -0.49 0.17 0.81 1.03 0.27 0.75 83.5 17428.46 4696.15 4.83 3505.85 2.82 35.9 11.92 1.93 9.9
"Georgia" 0 3 0 41.3 10255 2.75 23.45 1.25 0.06 -0.42 0.06 0.75 1.01 0.24 0.63 83.7 15853.72 4255.74 5.2 3910.75 3.11 34.5 9.94 2.27 9.9
"Germany" 85835980 55 0.01 84.26 732204.2 8.86 15.22 1.62 0.13 0.59 1.43 1.65 1.78 1.6 1.84 79.6 3697221.31 44652.59 1.45 64443.26 1.73 31.9 6.33 1.5 48.9
"Germany" 309646600 20 0.1 78.37 707770.2 8.54 16.04 1.78 0.04 0.59 1.43 1.56 1.76 1.62 1.93 79.3 3982413.4 47939.28 1.77 64243.49 1.66 31.8 6.47 1.24 48.9
"Germany" 78098655 23 0.01 78.37 658693.5 7.93 17.07 1.76 0.04 0.57 1.36 1.52 1.72 1.61 1.9 79.3 3895920.88 46793.69 1.41 64256.52 1.75 31.7 6.31 1.05 49
"Germany" 0 21 0.02 77.2 603350.5 7.26 18.6 1.69 0.09 0.68 1.38 1.35 1.59 1.55 1.86 79.7 3880399.29 46772.83 0.55 69450.46 1.72 0 5.93 1.05 48.8
"Ghana" 45467 2 0 49.66 16774.9 0.54 42.13 1.77 0.09 -0.03 0.55 -0.3 -0.13 0.07 -0.12 58.4 66030.69 2180.03 7.8 7024.78 4.68 0 15.78 18.19 33.2
"Ghana" 0 29 0 27.6 19401.16 0.6 40.25 1.71 0.14 0.18 0.55 -0.17 -0.12 -0.05 -0.11 60 68212.61 2176.58 9.96 8624.38 5.74 0 14.23 14.82 55.4
"Gibraltar" 65550450 5 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gibraltar" 509055045 1 0.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
